"weight","start_lat","start_lon","stop_lat","stop_lon","start_area","stop_area"
"3.5","30.24031575","120.1814335","30.1930905","120.1717165","433","283"
"3.5","30.2517428","120.1773768","30.264963799999997","120.1789636","463","493"
"3.5","30.2623002","120.21024560000001","30.250913199999996","120.192913","495","464"
"3.5","30.33656","120.116703","30.2930885","120.2098155","699","585"
"3.5","30.30338325","120.18914575","30.294470249999996","120.20787525","614","585"
"3.5","30.23422575","120.16639125","30.2449815","120.16313","402","432"
"3.5","30.256197250000003","120.21326725","30.293473","120.21140925","465","585"
"3.5","30.245928","120.16363924999999","30.254200000000004","120.16515175","432","462"
"3.5","30.264047","120.16486375","30.29420775","120.20705550000001","492","585"
"3.5","30.275452833333333","120.09888716666667","30.274171666666664","120.15057733333333","518","521"
"3.5","30.3126185","120.17673175","30.293408999999997","120.20615975000001","643","585"
